CD_GEOCMU,lat,long
"3509106",-21.801457,-51.986638
"3511003",-20.897610,-51.570252
"3514403",-21.556712,-51.584049
"3515301",-22.485611,-51.669073
"3515350",-22.518967,-52.588605
"3528700",-22.127698,-52.056586
"3530201",-22.349246,-51.997968
"3531605",-21.254859,-51.571367
"3532207",-22.563711,-51.521679
"3533106",-21.322364,-51.645447
"3534807",-21.510412,-51.737845
"3535408",-21.463307,-51.858065
"3536406",-21.198343,-51.790721
"3538303",-21.852668,-51.731567
"3541208",-22.107273,-51.620342
"3541307",-21.910658,-52.174918
"3541505",-21.793013,-51.838338
"3543238",-21.784269,-51.583278
"3544251",-22.489146,-52.836904
"3545506",-22.477862,-51.842134
"3547106",-21.316776,-51.737132
"3547700",-22.037657,-51.722520
"3549300",-21.223450,-51.673044
"3553906",-22.357975,-51.625779
"3554300",-22.416607,-52.374035
"3555109",-21.390396,-51.587200
"4200101",-26.562314,-52.255937
"4200507",-27.054408,-52.956712
"4200556",-26.851866,-52.852710
"4200754",-27.421407,-51.925802
"4200804",-26.532559,-53.332305
"4201273",-27.140885,-52.181243
"4201653",-27.070957,-52.442232
"4202081",-26.768606,-53.648195
"4202099",-26.667816,-53.424570
"4202156",-26.856621,-53.617925
"4202537",-26.739905,-52.390753
"4202578",-26.683378,-53.095200
"4203105",-27.024294,-53.263168
"4203501",-26.450292,-53.130041
"4203907",-27.412017,-51.631015
"4204004",-27.045536,-51.696805
"4204103",-27.146734,-52.920141
"4204202",-27.124976,-52.650323
"4204301",-27.239106,-52.007277
"4204350",-26.975693,-52.641436
"4204400",-26.883292,-52.725322
"4204459",-26.534674,-52.671887
"4204707",-26.878441,-53.190790
"4204756",-26.974681,-53.100913
"4204905",-26.858266,-53.479307
"4205001",-26.329793,-53.532872
"4205175",-26.739602,-52.578546
"4205308",-26.846602,-52.244294
"4205357",-26.763075,-53.337180
"4205431",-26.633932,-52.793947
"4205605",-26.449444,-52.658590
"4206405",-26.580010,-53.570718
"4206603",-26.398206,-53.483442
"4206652",-27.116639,-52.783514
"4207601",-27.371072,-51.798990
"4207650",-27.000160,-53.489615
"4207684",-26.678807,-52.476193
"4207700",-27.040163,-52.152863
"4207759",-26.844359,-53.324473
"4207809",-27.025188,-51.917928
"4207858",-26.627612,-52.890205
"4208005",-27.244092,-52.332106
"4208401",-27.112129,-53.711374
"4208609",-27.141493,-51.772656
"4208955",-26.717617,-52.871650
"4209003",-27.152018,-51.593163
"4209177",-26.394105,-52.720887
"4209201",-27.250857,-51.590448
"4209458",-26.854768,-52.552224
"4209854",-27.031312,-52.052125
"4210035",-27.090364,-51.506291
"4210506",-26.759858,-53.198398
"4210555",-26.812415,-52.630251
"4210902",-26.775114,-53.051532
"4211009",-27.098790,-53.446375
"4211405",-26.908091,-52.906673
"4211454",-26.961402,-52.833234
"4211652",-26.494410,-52.796207
"4211801",-27.283822,-51.681865
"4211850",-26.711563,-52.279012
"4211876",-27.213160,-52.487924
"4212007",-26.373576,-53.314292
"4212106",-27.092186,-53.179780
"4212239",-26.662362,-53.677979
"4212270",-26.705787,-51.960499
"4212601",-27.350963,-51.874832
"4212908",-26.829315,-52.976647
"4213104",-27.461223,-51.772893
"4213153",-27.052280,-52.869105
"4213401",-26.861732,-51.928334
"4213906",-27.233448,-51.781089
"4214151",-26.432823,-53.611413
"4214201",-26.729239,-52.718865
"4215075",-26.977386,-53.344670
"4215208",-26.648197,-53.317082
"4215356",-26.590536,-53.022549
"4215554",-26.921156,-53.619630
"4215687",-26.592419,-53.169971
"4215695",-26.630837,-52.697678
"4215752",-26.487875,-52.987447
"4216008",-27.030276,-53.031353
"4216107",-26.539291,-52.554401
"4216255",-27.091407,-53.591874
"4216701",-26.480824,-53.533547
"4216909",-26.465787,-52.859834
"4217154",-26.688677,-53.239526
"4217204",-26.726998,-53.512050
"4217303",-26.897234,-53.039919
"4217501",-27.147601,-52.340277
"4217550",-26.693679,-53.025379
"4217758",-26.695334,-52.946837
"4217956",-26.675937,-53.156668
"4218756",-26.987450,-53.649314
"4218855",-26.786970,-52.856389
"4219101",-26.778014,-52.124191
"4219176",-26.945597,-51.756090
"4219507",-26.872335,-52.409777
"4219606",-27.021210,-52.322603
"4219705",-26.970112,-52.529339
"4219853",-27.477128,-51.535718
"4300001",-32.753334,-52.973142
"4300034",-31.690953,-54.138993
"4300059",-28.214372,-52.051327
"4300109",-29.608381,-53.226636
"4300208",-28.210242,-53.737238
"4300307",-27.651672,-54.783165
"4300406",-29.764108,-55.835549
"4300455",-27.814076,-54.056281
"4300471",-28.130489,-52.907474
"4300505",-27.216963,-53.063170
"4300554",-28.804774,-52.988837
"4300638",-30.810489,-52.317540
"4300646",-27.365324,-53.192503
"4300703",-28.970644,-51.995009
"4300851",-30.919229,-51.578510
"4300901",-27.387488,-52.302519
"4301008",-29.362427,-51.965085
"4301073",-31.440748,-52.397844
"4301107",-30.193173,-51.751921
"4301206",-29.259084,-53.052606
"4301305",-32.189513,-52.919377
"4301404",-28.864201,-52.186245
"4301503",-28.534361,-54.006783
"4301552",-27.708737,-52.076635
"4301602",-31.236725,-54.016759
"4301701",-27.567704,-52.417249
"4301750",-30.417453,-51.798448
"4301859",-27.205572,-53.763417
"4301875",-30.151561,-57.335462
"4301925",-27.403127,-52.406896
"4301958",-27.921978,-53.016548
"4302006",-29.113454,-52.588817
"4302055",-27.484892,-52.642559
"4302154",-27.701836,-53.341504
"4302204",-27.675187,-54.099560
"4302220",-28.656479,-53.837502
"4302238",-28.865715,-53.461520
"4302253",-29.351315,-51.672530
"4302378",-27.545474,-53.848929
"4302402",-29.637752,-51.922494
"4302451",-29.305628,-52.414101
"4302501",-28.661801,-54.971313
"4302584",-28.354914,-53.751642
"4302600",-27.580116,-53.743035
"4302659",-29.537090,-51.622282
"4302709",-30.183593,-52.004834
"4302808",-30.593423,-53.477940
"4302907",-29.920539,-54.802373
"4303004",-30.206239,-52.986384
"4303202",-27.814130,-51.676763
"4303301",-28.335375,-54.655164
"4303400",-27.246648,-53.466390
"4303509",-30.922642,-51.788647
"4303558",-28.616396,-52.221257
"4303707",-27.963251,-54.833961
"4303806",-27.736260,-52.657459
"4304002",-27.668338,-53.824162
"4304101",-28.905573,-53.057617
"4304200",-29.700510,-52.813148
"4304309",-27.933729,-54.719772
"4304358",-31.554497,-53.745758
"4304507",-31.217491,-52.669610
"4304614",-29.327106,-52.233945
"4304655",-28.959583,-54.582126
"4304663",-31.833658,-52.538168
"4304697",-29.283200,-51.984321
"4304705",-28.278222,-52.864055
"4304853",-27.704320,-51.929760
"4304903",-28.594355,-51.967283
"4304952",-28.248467,-51.736971
"4305009",-28.168734,-54.034411
"4305116",-27.775879,-52.003111
"4305124",-31.729711,-52.795990
"4305132",-29.627526,-52.995424
"4305157",-27.628550,-53.163088
"4305173",-30.583947,-51.760246
"4305207",-28.131787,-54.739167
"4305306",-28.096942,-53.115106
"4305355",-29.990745,-51.556498
"4305371",-27.945177,-52.000199
"4305405",-27.986986,-53.909620
"4305439",-33.652769,-53.412861
"4305447",-30.781983,-52.004766
