SIGLA,NM_ESTADO,NM_REGIAO,CD_GEOCUF,lat,long
AC,ACRE,NORTE,"12",-9.21288565,-70.47328293
AL,ALAGOAS,NORDESTE,"27",-9.51386300,-36.62493568
AM,AMAPÁ,NORTE,"16",1.44334164,-51.95582935
BA,BAHIA,NORDESTE,"29",-12.47516904,-41.72085779
CE,CEARÁ,NORDESTE,"23",-5.09334534,-39.61569434
DF,DISTRITO FEDERAL,CENTRO-OESTE,"53",-15.78069237,-47.79736071
ES,ESPÍRITO SANTO,SUDESTE,"32",-19.57539130,-40.66852839
GO,GOIÁS,CENTRO-OESTE,"52",-16.04222654,-49.62361384
MA,MARANHÃO,NORDESTE,"21",-5.05581768,-45.27901034
MT,MATO GROSSO,CENTRO-OESTE,"51",-12.94896706,-55.91214512
MS,MATO GROSSO DO SUL,CENTRO-OESTE,"50",-20.32731017,-54.84562553
MG,MINAS GERAIS,SUDESTE,"31",-18.45618683,-44.67342880
PA,PARÁ,NORTE,"15",-3.97470772,-53.06405667
PB,PARAÍBA,NORDESTE,"25",-7.12104166,-36.83241417
PE,PERNAMBUCO,NORDESTE,"26",-8.32529693,-37.99746829
PI,PIAUÍ,NORDESTE,"22",-7.38752998,-42.96862048
RJ,RIO DE JANEIRO,SUDESTE,"33",-22.19603715,-42.66307762
RN,RIO GRANDE DO NORTE,NORDESTE,"24",-5.83967710,-36.67347663
RS,RIO GRANDE DO SUL,SUL,"43",-29.70568084,-53.32028521
RR,RORAIMA,NORTE,"14",2.08422611,-61.39927864
SC,SANTA CATARINA,SUL,"42",-27.24736411,-50.47460764
SP,SÃO PAULO,SUDESTE,"35",-22.26581700,-48.72884254
SE,SERGIPE,NORDESTE,"28",-10.58447495,-37.44389984
TO,TOCANTINS,NORTE,"17",-10.15031629,-48.32923019
PR,PARANÁ,SUL,"41",-24.63589879,-51.61667765
RO,RONDÔNIA,NORTE,"11",-10.91321786,-62.84197489
AM,AMAZONAS,NORTE,"13",-4.15417750,-64.65314126
