id,hora,altura,data,data-invert
1,10:30:00 AM,116.5,14-10-1875,1875-10-14
2,10:35:00 AM,116.5,28-10-1875,1875-10-28
3,01:55:00 PM,127.5,25-02-1879,1879-02-25
4,08:15:00 PM,137.5,25-02-1879,1879-02-25
5,10:15:00 AM,119.5,28-10-1882,1882-10-28
6,10:00:00 AM,121.5,10-12-1882,1882-12-10
7,03:15:00 PM,115.5,15-10-1896,1896-10-15
8,10:12:00 AM,114.5,20-10-1896,1896-10-20
9,09:45:00 AM,115.5,17-11-1896,1896-11-17
10,12:08:00 PM,129.5,6-12-1903,1903-12-06
11,12:40:00 PM,118.6,1-11-1906,1906-11-01
12,10:30:00 PM,115,15-11-1910,1910-11-15
13,08:50:00 AM,118.5,31-10-1914,1914-10-31
14,08:00:00 AM,136,21-11-1916,1916-11-21
15,08:50:00 AM,111,2-01-1920,1920-01-02
16,11:20:00 AM,111,10-11-1927,1927-11-10
17,10:30:00 AM,110,28-10-1928,1928-10-28
18,09:35:00 AM,121,15-12-1933,1933-12-15
19,09:10:00 AM,113,16-12-1933,1933-12-16
20,11:55:00 AM,113,11-11-1934,1934-11-11
21,06:55:00 AM,116,16-12-1934,1934-12-16
22,05:50:00 AM,114,18-11-1935,1935-11-18
23,09:35:00 PM,147,16-04-1936,1936-04-16
24,11:45:00 AM,119,12-03-1937,1937-03-12
25,11:15:00 AM,114,23-12-1938,1938-12-23
26,11:50:00 AM,136,9-12-1946,1946-12-09
27,10:40:00 AM,126,29-11-1947,1947-11-29
28,12:00:00 PM,119,27-01-1948,1948-01-27
29,01:25:00 AM,126,28-01-1948,1948-01-28
30,11:00:00 AM,132,28-01-1948,1948-01-28
31,08:50:00 AM,117,8-12-1950,1950-12-08
32,06:35:00 AM,114,3-01-1951,1951-01-03
33,12:10:00 AM,117,8-03-1951,1951-03-08
34,08:05:00 AM,151,12-11-1951,1951-11-12
35,10:45:00 AM,116,21-10-1952,1952-10-21
36,11:15:00 AM,112,11-12-1954,1954-12-11
37,01:00:00 PM,120,10-11-1957,1957-11-10
38,12:35:00 AM,113,13-11-1958,1958-11-13
39,05:00:00 AM,110,17-12-1958,1958-12-17
40,04:30:00 AM,114,18-12-1958,1958-12-18
41,08:20:00 AM,124,24-12-1958,1958-12-24
42,09:15:00 AM,118,29-10-1959,1959-10-29
43,08:10:00 AM,117,11-12-1959,1959-12-11
44,11:00:00 AM,126,15-01-1960,1960-01-15
45,11:30:00 AM,114,16-01-1960,1960-01-16
46,09:20:00 AM,110,23-02-1960,1960-02-23
47,07:55:00 AM,145,15-10-1960,1960-10-15
48,11:50:00 PM,116,20-10-1960,1960-10-20
49,11:00:00 AM,123,5-11-1960,1960-11-05
50,12:55:00 PM,122,12-11-1961,1961-11-12
51,10:05:00 AM,114,8-11-1962,1962-11-08
52,10:30:00 AM,110,11-11-1962,1962-11-11
