"id","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","user","name","x","verified","followers","image","siglapartido","deputadosfederais","senadores","ministrosbolsonaro","midia","governador","prefeitocapitais","candidatospresidente18","presidentes","partidos","comentaristaspoliticos","outrospoliticos","jornalistacolunista","canaisyoutube","justica","artistas","esporte","local","size","group","important"
"762402774260875265",16.12,17.7,14.87,12.08,9.69,6.88,4.95,3.32,2.18,1.54,1.21,1.11,0.98,1.09,1.21,1.45,1.55,1.27,0.63,0.16,"GuilhermeBoulos","Guilherme Boulos",12.3879263414076,1,170540,"1104804968962445312/gOSUWxS9_bigger.jpg","PSOL",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,47.170425704175,1,1
"206222507",12.7,15.32,14.2,12.12,10.46,8.02,6.44,4.95,3.64,2.55,1.94,1.53,1.25,1.17,1.06,1,0.88,0.5,0.21,0.05,"zehdeabreu","Jose de Abreu",11.7620440050581,1,127029,"1114175619577806849/iGSOkxJk_bigger.jpg",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,42.6781030159756,1,0
"1053378751189397504",16.91,17.92,16.19,13.44,10.81,7.63,5.4,3.5,2.16,1.48,1.04,0.81,0.66,0.59,0.43,0.41,0.31,0.17,0.11,0.05,"jairmearrependi","🇧🇷 @jairmearrependi de Ashai 🔥",8.37888169111329,0,68516,"1122656059741675520/KtiHvwEl_bigger.jpg",NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,34.5792907839405,1,0
"2479861125",20.28,20.36,16.75,12.97,9.56,6.47,4.35,2.52,1.55,1.04,0.78,0.63,0.47,0.49,0.47,0.45,0.4,0.26,0.15,0.05,"davidmirandario","David Miranda",5.21207074744065,1,67451,"1072521321869926401/1kUAx9j9_bigger.jpg",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,34.3946780845921,1,0
"14125476",13.03,15.62,14.01,11.43,9.53,7.31,5.94,4.91,3.72,2.63,2.01,1.57,1.42,1.27,1.25,1.32,1.26,0.91,0.58,0.27,"malvados","André Dahmer",13.6169959162012,1,66528,"91181386/malvas_bigger.jpg",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,34.2331020034329,1,0
"446246330",17.78,19.89,16.86,13.07,9.92,6.61,4.46,2.95,1.91,1.3,0.99,0.78,0.67,0.64,0.63,0.65,0.48,0.27,0.09,0.03,"LaerteCoutinho1","Laerte Coutinho",6.37077604211004,1,66336,"1077533851994476544/6vEgW03K_bigger.jpg",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,34.1993038825406,1,0
"58668131",13.22,17,15.16,12.31,9.74,7.04,5.34,4.12,2.9,2.09,1.63,1.34,1.31,1.24,1.22,1.39,1.48,0.92,0.42,0.14,"blogdosakamoto","Leonardo Sakamoto",10.8803182058981,1,63638,"1082484867080822785/6OBuZhyx_bigger.jpg",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,33.7173172541341,1,0
"390434624",16.04,14.89,13.33,11.41,9.5,7.59,6.59,4.83,3.41,2.39,1.68,1.45,1.18,1.23,1.11,1.02,0.97,0.74,0.43,0.2,"anttrindade","maria capitolina",14.244446254902,0,62590,"742815967298740224/H-AVS7Fk_bigger.jpg",NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,33.5264232008112,1,0
"74626513",12.43,14.96,13.16,11.22,9.2,7.19,6.03,4.99,3.72,2.92,2.36,1.93,1.79,1.7,1.77,1.72,1.43,0.95,0.44,0.1,"LeonardoBoff","Leonardo Boff",12.8719213733334,0,61368,"832795971364884480/P6erGu9K_bigger.jpg",NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,33.301124499137,1,0
"50129112",30.73,19.78,14.54,10.21,7.52,5.59,4.23,2.51,1.57,1.02,0.61,0.43,0.35,0.25,0.2,0.2,0.14,0.07,0.03,0.01,"louieponto","louie ponto",4.65143746188096,0,56096,"1057026530566721536/TRt0DcV3_bigger.jpg",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,32.2932718215101,1,0
