date,casesPer100K,deathsPer100K,cod
2020-03-28,0.78,0.00,110012
2020-03-28,0.94,0.00,110020
2020-03-28,6.14,0.00,120040
2020-03-28,2.91,0.00,130070
2020-03-28,2.05,0.00,130250
2020-03-28,4.81,0.00,130260
2020-03-28,1.75,0.88,130340
2020-03-28,4.63,0.00,130370
2020-03-28,2.25,0.00,140010
2020-03-28,24.18,0.00,140015
2020-03-28,0.75,0.00,150080
2020-03-28,0.60,0.00,150140
2020-03-28,0.50,0.00,150240
2020-03-28,0.99,0.00,150360
2020-03-28,0.36,0.00,150420
2020-03-28,0.48,0.00,150553
2020-03-28,0.79,0.00,160030
2020-03-28,0.55,0.00,170210
2020-03-28,2.67,0.00,172100
2020-03-28,0.39,0.00,210530
2020-03-28,1.18,0.00,211130
2020-03-28,0.65,0.00,220770
2020-03-28,18.71,18.71,221005
2020-03-28,1.04,0.00,221100
2020-03-28,8.72,0.00,230100
2020-03-28,0.28,0.00,230370
2020-03-28,11.39,0.15,230440
2020-03-28,6.07,0.00,230445
2020-03-28,0.36,0.00,230730
2020-03-28,0.78,0.00,230770
2020-03-28,2.08,0.00,230810
2020-03-28,2.28,0.00,231130
2020-03-28,1.91,0.00,231290
2020-03-28,2.29,0.00,240325
2020-03-28,1.24,0.00,240710
2020-03-28,4.45,0.00,240780
2020-03-28,4.71,0.00,240800
2020-03-28,2.49,0.00,240810
2020-03-28,7.53,0.00,240910
2020-03-28,16.35,0.00,250260
2020-03-28,0.49,0.00,250400
2020-03-28,1.24,0.00,250750
2020-03-28,1.44,0.00,251620
2020-03-28,1.31,0.00,260170
2020-03-28,0.63,0.00,260345
2020-03-28,0.28,0.00,260410
2020-03-28,32.67,0.00,260545
2020-03-28,1.25,0.00,260620
2020-03-28,0.71,0.00,260790
2020-03-28,1.02,0.00,260960
2020-03-28,0.57,0.00,261110
2020-03-28,2.80,0.24,261160
2020-03-28,0.88,0.00,261370
2020-03-28,1.28,0.00,270430
2020-03-28,4.98,0.00,270750
2020-03-28,1.98,0.00,280030
2020-03-28,2.71,0.00,280450
2020-03-28,6.75,0.00,280570
2020-03-28,0.64,0.00,290320
2020-03-28,1.49,0.00,290460
2020-03-28,0.33,0.00,290570
2020-03-28,3.82,0.00,290620
2020-03-28,3.02,0.00,290850
2020-03-28,3.87,0.00,290860
2020-03-28,1.46,0.00,291080
2020-03-28,1.23,0.00,291360
2020-03-28,0.94,0.00,291480
2020-03-28,6.86,0.00,291520
2020-03-28,0.64,0.00,291800
2020-03-28,0.92,0.00,291840
2020-03-28,3.53,0.00,291920
2020-03-28,6.73,0.00,292530
2020-03-28,10.65,0.00,292550
2020-03-28,2.85,0.00,292740
2020-03-28,11.04,0.00,292895
2020-03-28,0.62,0.00,293135
2020-03-28,5.14,0.00,310620
2020-03-28,0.91,0.00,310670
2020-03-28,2.49,0.00,310710
2020-03-28,1.98,0.00,310740
2020-03-28,1.85,0.00,311120
2020-03-28,6.47,0.00,311150
2020-03-28,4.45,0.00,311420
2020-03-28,0.60,0.00,311860
2020-03-28,0.91,0.00,311940
2020-03-28,2.10,0.00,312230
2020-03-28,0.36,0.00,312770
2020-03-28,12.44,0.00,312890
2020-03-28,0.38,0.00,313130
2020-03-28,1.93,0.00,313670
2020-03-28,3.83,0.00,313720
2020-03-28,3.29,0.00,314000
2020-03-28,16.86,0.00,314480
2020-03-28,1.10,0.00,314810
2020-03-28,0.60,0.00,315180
2020-03-28,2.20,0.00,315670
2020-03-28,2.22,0.00,316250
2020-03-28,0.83,0.00,316720
2020-03-28,1.11,0.00,316870
2020-03-28,0.90,0.00,317010
2020-03-28,1.01,0.00,317020
2020-03-28,0.48,0.00,320120
2020-03-28,0.26,0.00,320130
2020-03-28,2.66,0.00,320140
2020-03-28,2.30,0.00,320320
2020-03-28,4.24,0.00,320460
2020-03-28,8.05,0.00,320495
2020-03-28,0.97,0.00,320500
2020-03-28,4.25,0.00,320520
2020-03-28,4.97,0.00,320530
2020-03-28,0.54,0.00,330040
2020-03-28,0.20,0.00,330045
2020-03-28,0.20,0.00,330100
2020-03-28,0.33,0.00,330170
2020-03-28,1.65,0.00,330185
2020-03-28,0.83,0.00,330190
2020-03-28,2.25,0.00,330260
2020-03-28,3.92,3.92,330290
2020-03-28,7.20,0.19,330330
2020-03-28,0.12,0.00,330350
2020-03-28,0.98,0.33,330390
2020-03-28,0.76,0.00,330420
2020-03-28,7.28,0.13,330455
2020-03-28,0.37,0.00,330490
2020-03-28,1.31,0.00,330610
2020-03-28,4.03,0.37,330630
2020-03-28,1.11,0.00,350390
2020-03-28,1.82,0.00,350570
2020-03-28,1.97,0.00,350900
2020-03-28,1.30,0.00,350920
2020-03-28,0.66,0.00,350950
2020-03-28,0.50,0.00,351060
2020-03-28,2.41,0.00,351300
2020-03-28,0.47,0.00,351380
2020-03-28,1.10,0.37,351500
2020-03-28,1.54,0.00,351570
2020-03-28,1.02,0.15,351880
2020-03-28,0.43,0.00,351907
2020-03-28,4.13,0.00,352140
2020-03-28,0.42,0.00,352250
2020-03-28,1.63,0.00,352400
2020-03-28,1.74,0.00,352470
2020-03-28,0.80,0.00,352500
2020-03-28,0.72,0.00,352590
2020-03-28,2.05,0.00,352730
2020-03-28,2.00,0.00,352850
2020-03-28,0.42,0.00,352940
2020-03-28,2.02,0.00,353060
2020-03-28,1.43,0.00,353440
2020-03-28,0.91,0.00,353650
2020-03-28,1.58,0.00,353730
2020-03-28,0.25,0.00,353870
2020-03-28,0.85,0.00,353980
2020-03-28,0.81,0.00,354330
2020-03-28,0.43,0.14,354340
2020-03-28,0.48,0.00,354390
2020-03-28,5.02,0.00,354730
2020-03-28,5.15,0.00,354780
2020-03-28,0.23,0.00,354850
2020-03-28,3.70,0.00,354870
2020-03-28,14.90,0.00,354880
2020-03-28,0.22,0.00,354980
2020-03-28,0.55,0.00,354990
