UF,data,pop,novas_mortes,mortes_totais_hoje,casos_totais_hoje,novos_casos,veiculo,novos_casos_100k,novas_mortes_100k,casos_totais_hoje_100k,mortes_totais_hoje_100k
Total,2020-06-08,210147125,856,37319,710971,19226,,9.14882846957816,0.4073336715884169,338.32059325103785,17.758510852813238
Total,2020-06-09,210147125,1185,38497,742084,31197,,14.845313729607293,0.5638906551778903,353.12593498483506,18.31907050834029
Total,2020-06-10,210147125,1300,39797,775184,33100,,15.750869777542755,0.6186142208702593,368.8768047623778,18.937684729210552
Total,2020-06-11,210147125,1261,41058,805649,30465,,14.496986337548039,0.6000557942441516,383.3737910999258,19.53774052345469
Total,2020-06-12,210147125,843,41901,829902,24255,,11.541913790160107,0.4011475293797143,394.9147531759,19.938888052834415
Total,2020-06-13,210147125,890,42791,850796,20894,,9.942558100664,0.4235128127496391,404.857311276564,20.362400865584053
Total,2020-06-14,210147125,598,43389,867882,17086,,8.130494290607116,0.2845625416003193,412.9878055671711,20.646963407184373
Total,2020-06-15,210147125,729,44118,891556,23674,,11.265440819140403,0.34689982078032233,424.2532463863115,20.99386322796469
Total,2020-06-16,210147125,1338,45456,928834,37278,,17.739000712001175,0.63669679040339,441.9922470983128,21.630560018368087
Total,2020-06-17,210147125,1209,46665,960309,31475,,14.977602001454933,0.5753112254093412,456.9698490997676,22.205871243777427
Total,2020-06-18,210147125,1131,47796,981137,20828,,9.911151532527507,0.5381943721571256,466.8810006322951,22.744065615934552
Total,2020-06-19,210147125,1221,49090,1038568,55209,,26.271594246173958,0.5810215105250667,494.20994933906417,23.359824694246946
Total,2020-06-20,210147125,968,50058,1070139,30972,,14.73824588368744,0.4606296660018547,509.233233621445,23.820454360248803
