Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Singapore,-3.59,3.82,8.09,14.65,21.53,15.04,8.95,12.63,18.86,24.85,31.47,33.42,39.21,47.91,60.24,58.43,62.75,68.36,54.3,55.85,61.45,51.71,52.79,52.59,58.93,63.8,68.81,77.33,76.79,77.4,98.21,103.81,107.4,113.09,111.81,107.99,104.41,101.99
Macao,26.55,33.47,35.87,42.44,45.33,35.18,36.4,48.19,48.06,45.06,50.17,49.7,66.27,72.48,72.28,70.31,63.4,55.7,40.52,29.84,30.45,28.52,35.51,42.47,66.58,66.44,67.4,105.13,80.09,84.38,119.53,150.58,165.02,186.5,177.51,117.99,109.41,124.71
Taiwan,-54.41,-54.47,-53.78,-51.43,-48.8,-49.1,-45.64,-41.29,-40.34,-38.3,-37.21,-33.39,-29.31,-24.98,-22.2,-20.35,-18.33,-17.16,-17.92,-16.07,-14.53,-18.72,-15.46,-14.04,-11.41,-8.81,-7.3,-3.37,-3.16,-1.64,6.74,8.81,11.28,12.92,15.08,13.11,11.94,11.01
Hong Kong,-22.9,-17.89,-18.89,-17.53,-12.86,-17.07,-11.84,-4.09,-2.08,-5.73,-5.81,-2.72,1.15,6.83,9.14,6.66,7.73,8.41,-4.26,-6.12,-4.39,-5.51,-6.53,-3.23,1.72,4.97,10.1,15.72,21.92,18.73,22.81,27.74,28.26,32.25,33.35,33.15,33.01,35.16
Ireland,-34.56,-32.32,-31.52,-33.25,-31.6,-31.14,-33.57,-31.92,-30.8,-28.71,-23.1,-22.74,-21.24,-19.23,-17.04,-11.56,-6.79,-2.69,0.62,4.03,7.97,7.49,8.75,10.88,12.07,13.34,13.42,14.02,8.94,2.31,0.87,-0.83,0.16,6.68,14.64,12.87,21.62,22.94
Equatorial Guinea,-79.86,-79.29,-80.14,-80.69,-82.08,-81.11,-82.68,-82.83,-83.58,-84.79,-84.95,-85.27,-83.09,-82.42,-82.01,-82.75,-78.63,-59.48,-56.68,-51.37,-51.16,-19.01,-8.58,-4.22,10.66,11.68,7.64,17.58,35.55,35.59,11.68,14.28,21.9,11.47,6.24,-9.79,-22.27,-23.92
Korea,-71.09,-69.85,-68.48,-65.81,-63.91,-63.32,-61.1,-57.95,-55.61,-54.78,-52.44,-48.56,-47.31,-44.42,-41.52,-39.6,-37.47,-37.18,-45.27,-40.84,-38.06,-37.34,-33.2,-33.09,-32.03,-31.31,-30.28,-28.02,-26.91,-24.31,-20.56,-19.53,-17.58,-16.38,-16.26,-16.07,-15.56,-16.53
Luxembourg,28.12,5.27,35.16,65.9,66.46,71.79,79.32,82.56,83.91,89.01,96.68,114.26,111.35,116.72,108.03,121.9,118.88,133.25,125.93,129.21,133.19,141.08,123.64,102.26,137.74,143.76,111.75,151.13,132.62,59.43,75.67,64.29,59.93,55.65,56.66,58.78,63.83,67.71
China,-93.73,-93.33,-92.91,-92.43,-91.14,-89.75,-89.49,-89.14,-88.95,-89.97,-90.74,-89.94,-88.97,-88.8,-88.47,-88.65,-88.45,-88.5,-88.49,-88.44,-88.51,-87.93,-86.86,-85.91,-84.85,-83.48,-81.9,-79.7,-77.9,-74.83,-73.02,-71.3,-68.51,-65.55,-62.88,-61.18,-59.54,-57.35
Malaysia,-59.21,-60.13,-61.3,-60.52,-58.76,-62.44,-67.99,-65.47,-63.81,-62.29,-59.63,-57.85,-57.02,-53.45,-52.06,-50.25,-47.97,-47.47,-52.93,-55.62,-51.17,-54.27,-51.95,-49.56,-46.39,-41.97,-40.62,-37.43,-31.03,-37.1,-32.17,-28.55,-27.73,-26.09,-24.67,-23.7,-23.77,-23.32
Norway,39.57,43.11,41.1,44.54,50.84,56.38,55.84,52.67,42.06,38.22,39,42.3,47.72,52.35,57.85,61.43,67.75,72.4,69.73,69,70.98,74.28,75.68,76.29,79.3,84.49,81.16,80.08,80.52,81.75,78.81,76.83,81.27,80.78,83.38,81.86,78.52,74.67
Mauritius,-74.9,-74.62,-73.17,-72.69,-73.43,-71.74,-67.45,-62.18,-63.95,-63.67,-64.39,-60.04,-58.69,-57.49,-57.45,-57.77,-57.32,-56.52,-56.92,-57.78,-56.86,-55.88,-55.76,-53.59,-52.36,-52.55,-54.17,-52.05,-50.25,-48.55,-51.07,-50.26,-45.13,-41.16,-40.54,-40.34,-39.59,-40
Malta,-40.99,-38.26,-36,-39.56,-40.02,-41.19,-42.19,-42.15,-40.83,-38.09,-34.41,-31.98,-30.97,-28.85,-28.9,-28.15,-28.68,-27.62,-29.04,-26.05,-27.01,-25.98,-25.33,-24.88,-26.66,-27,-29.42,-27.65,-23.54,-27.26,-25.48,-25.09,-23.67,-20.59,-15.6,-9.95,-9.84,-7.66
Sweden,-3.13,-2.52,-3.63,-2.86,-0.99,-0.74,3.06,3.59,2.24,2.08,-0.87,-2.83,-6.67,-10.44,-6.79,-3.1,-2.12,-2.17,1.32,2.67,4.34,3.64,4.86,9.29,10.21,12.38,15.76,17.06,19.25,16.14,19.6,19.07,20.47,22.03,24.96,29.17,29.83,28.19
Botswana,-75.41,-70.13,-69.27,-70.46,-69.94,-71.15,-69.22,-70.35,-70.25,-56.52,-53.52,-50.19,-50.54,-48.34,-55.92,-53.06,-54.78,-52.22,-51.34,-53.22,-55.54,-56.2,-59.56,-57.23,-59.51,-58.11,-56.43,-54.06,-51.8,-52.84,-52.96,-49.56,-47.5,-44.05,-43.66,-46.86,-46.55,-48.21
Israel,-16.77,-11.1,-13.55,-13.43,-17.8,-18.07,-16.37,-12.34,-13.93,-17.66,-14.09,-9.69,-7.19,-6.86,-6.01,-3.28,-3.45,-5.71,-7.19,-10.54,-9.67,-10.97,-13.27,-15.09,-14,-11.33,-10.31,-7.94,-8.37,-5.01,-2.75,0.86,1.62,6.03,8.5,8.18,8.62,7.57
