city,frigorifico
ALTA FLORESTA D'OESTE (RO),sim
ABELARDO LUZ (SC),sim
ÁGUA AZUL DO NORTE (PA),sim
ÁGUA BOA (MT),sim
AGUIARNÓPOLIS (TO),sim
ALEGRETE (RS),sim
ALTA FLORESTA (MT),sim
ALVORADA (TO),sim
ALVORADA (TO),sim
AMAMBAÍ (MS),sim
AMARGOSA (BA),sim
AMPARO (SP),sim
ANASTÁCIO (MS),sim
ANDRADINA (SP),sim
APARECIDA DO TABOADO (MS),sim
APARECIDA DO TABOADO (MS),sim
APARECIDA DO TABOADO (MS),sim
APARECIDA DO TABOADO (MS),sim
APORÉ (GO),sim
APUCARANA (PR),sim
AQUIDAUANA (MS),sim
ARAGUAÍNA (TO),sim
ARAGUAÍNA (TO),sim
ARAGUAÍNA (TO),sim
ARAGUAÍNA (TO),sim
ARAGUARI (MG),sim
ARAGUARI (MG),sim
ARAGUARI (MG),sim
ARAGUARI (MG),sim
ARAPONGAS (PR),sim
ARAPONGAS (PR),sim
ARAPUTANGA (MT),sim
ARROIO DO MEIO (RS),sim
AVARÉ (SP),sim
AVARÉ (SP),sim
AVARÉ (SP),sim
BAGÉ (RS),sim
BARBACENA (MG),sim
BARBACENA (MG),sim
BARBACENA (MG),sim
BARBACENA (MG),sim
BARRA DO BUGRES (MT),sim
BARRA DO GARÇAS (MT),sim
BARRA DO GARÇAS (MT),sim
BARREIRAS (BA),sim
BARREIRAS (BA),sim
BARREIRAS (BA),sim
BARREIRAS (BA),sim
BARREIRAS (BA),sim
BARREIRAS (BA),sim
BARREIRAS (BA),sim
BARREIRAS (BA),sim
BARREIRAS (BA),sim
BARRETOS (SP),sim
BATAGUASSU (MS),sim
BAURU (SP),sim
BAURU (SP),sim
BAURU (SP),sim
BAURU (SP),sim
BELO HORIZONTE (MG),sim
BELO JARDIM (PE),sim
BELTERRA (PA),sim
BETIM (MG),sim
BOCA DO ACRE (AM),sim
BOCAIÚVA DO SUL (PR),sim
BOITUVA (SP),sim
BOM RETIRO DO SUL (RS),sim
BRAÇO DO NORTE (SC),sim
BRASILÉIA (AC),sim
BRASÍLIA (DF),sim
BRASÍLIA (DF),sim
BRASÍLIA (DF),sim
BRASÍLIA (DF),sim
BRASNORTE (MT),sim
BURITI ALEGRE (GO),sim
BURITI ALEGRE (GO),sim
BURITI ALEGRE (GO),sim
CAARAPÓ (MS),sim
CABREÚVA (SP),sim
CAÇAPAVA DO SUL (RS),sim
CACHOEIRA ALTA (GO),sim
CACOAL (RO),sim
CAFELÂNDIA (PR),sim
CAFELÂNDIA (PR),sim
CAFELÂNDIA (PR),sim
CAMBIRA (PR),sim
CAMBUQUIRA (MG),sim
CAMPINAS (SP),sim
CAMPINAS (SP),sim
CAMPINAS (SP),sim
CAMPINAS (SP),sim
CAMPO BELO (MG),sim
CAMPO BELO (MG),sim
CAMPO GRANDE (MS),sim
CAMPO GRANDE (MS),sim
CAMPO GRANDE (MS),sim
CAMPO GRANDE (MS),sim
CAMPO MOURÃO (PR),sim
CAMPO MOURÃO (PR),sim
CAMPO VERDE (MT),sim
