date;cases;deaths;casesNew;deathsNew;casesPer100K;deathsPer100K;dias;codigo_ibge;nome;nome_com_uf
2020-06-18;59;0;5;0;257.1366310743;0;48;110001;Alta Floresta D'Oeste (RO);ALTA FLORESTA D'OESTE (RO)
2020-06-18;817;14;0;1;757.4423110798;12.9794276072;70;110002;Ariquemes (RO);ARIQUEMES (RO)
2020-06-18;3;0;0;0;56.4759036145;0;15;110003;Cabixi (RO);CABIXI (RO)
2020-06-18;191;2;0;0;223.7608219403;2.3430452559;50;110004;Cacoal (RO);CACOAL (RO)
2020-06-18;24;2;6;0;147.0317956258;12.2526496355;27;110005;Cerejeiras (RO);CEREJEIRAS (RO)
2020-06-18;20;0;3;0;125.928724342;0;13;110006;Colorado do Oeste (RO);COLORADO DO OESTE (RO)
2020-06-18;4;0;0;0;54.1198755243;0;13;110007;Corumbiara (RO);CORUMBIARA (RO)
2020-06-18;16;0;4;0;87.2838361246;0;26;110008;Costa Marques (RO);COSTA MARQUES (RO)
2020-06-18;39;2;1;0;120.467041453;6.1777969976;49;110009;Espigão D'Oeste (RO);ESPIGÃO D'OESTE (RO)
2020-06-18;834;37;0;1;1806.2112877377;80.1316758349;50;110010;Guajará-Mirim (RO);GUAJARÁ-MIRIM (RO)
2020-06-18;267;3;0;0;515.6929019797;5.7943022694;80;110011;Jaru (RO);JARU (RO)
2020-06-18;330;8;1;0;255.8754429359;6.2030410409;83;110012;Ji-Paraná (RO);JI-PARANÁ (RO)
2020-06-18;46;1;0;0;115.0258808232;2.5005626266;43;110013;Machadinho D'Oeste (RO);MACHADINHO D'OESTE (RO)
2020-06-18;8;0;0;0;39.0739474455;0;44;110014;Nova Brasilândia D'Oeste (RO);NOVA BRASILÂNDIA D'OESTE (RO)
2020-06-18;129;3;0;0;357.9852920771;8.3252393506;71;110015;Ouro Preto do Oeste (RO);OURO PRETO DO OESTE (RO)
2020-06-18;119;3;0;1;324.6044735406;8.1833060556;54;110018;Pimenta Bueno (RO);PIMENTA BUENO (RO)
2020-06-18;8632;265;163;11;1630.0817306966;50.0430559123;83;110020;Porto Velho (RO);PORTO VELHO (RO)
2020-06-18;11;0;2;0;57.9374275782;0;34;110025;Presidente Médici (RO);PRESIDENTE MÉDICI (RO)
2020-06-18;9;0;0;0;239.1073326249;0;33;110026;Rio Crespo (RO);RIO CRESPO (RO)
2020-06-18;197;2;6;0;357.8044970758;3.6325329652;74;110028;Rolim de Moura (RO);ROLIM DE MOURA (RO)
2020-06-18;11;0;0;0;169.3610469592;0;35;110029;Santa Luzia D'Oeste (RO);SANTA LUZIA D'OESTE (RO)
2020-06-18;298;3;0;0;298.4357161456;3.0043864042;74;110030;Vilhena (RO);VILHENA (RO)
2020-06-18;617;6;12;0;2682.0256465986;26.0812866768;38;110032;São Miguel do Guaporé (RO);SÃO MIGUEL DO GUAPORÉ (RO)
2020-06-18;141;3;22;0;461.0404473073;9.8093712193;38;110033;Nova Mamoré (RO);NOVA MAMORÉ (RO)
2020-06-18;10;1;0;0;69.3914370967;6.9391437097;44;110034;Alvorada D'Oeste (RO);ALVORADA D'OESTE (RO)
2020-06-18;32;1;1;0;241.673589608;7.5522996753;46;110037;Alto Alegre dos Parecis (RO);ALTO ALEGRE DOS PARECIS (RO)
2020-06-18;34;3;3;0;158.6708978906;14.0003733433;61;110040;Alto Paraíso (RO);ALTO PARAÍSO (RO)
2020-06-18;76;2;1;0;191.6578403188;5.0436273768;63;110045;Buritis (RO);BURITIS (RO)
2020-06-18;18;1;0;0;210.8222066058;11.7123448114;50;110050;Novo Horizonte do Oeste (RO);NOVO HORIZONTE DO OESTE (RO)
2020-06-18;13;0;0;0;208.6677367576;0;38;110060;Cacaulândia (RO);CACAULÂNDIA (RO)
2020-06-18;27;2;1;0;190.9611712285;14.1452719429;48;110070;Campo Novo de Rondônia (RO);CAMPO NOVO DE RONDÔNIA (RO)
2020-06-18;350;6;0;0;1311.2051848799;22.4778031694;54;110080;Candeias do Jamari (RO);CANDEIAS DO JAMARI (RO)
2020-06-18;15;0;1;0;491.4809960682;0;10;110090;Castanheiras (RO);CASTANHEIRAS (RO)
2020-06-18;10;0;0;0;89.4294401717;0;16;110092;Chupinguaia (RO);CHUPINGUAIA (RO)
2020-06-18;49;1;0;0;194.328772556;3.9658933175;51;110094;Cujubim (RO);CUJUBIM (RO)
2020-06-18;23;0;0;0;296.1246298442;0;50;110100;Governador Jorge Teixeira (RO);GOVERNADOR JORGE TEIXEIRA (RO)
2020-06-18;59;0;0;0;564.1614075349;0;53;110110;Itapuã do Oeste (RO);ITAPUÃ DO OESTE (RO)
2020-06-18;2;0;0;0;20.7039337474;0;27;110120;Ministro Andreazza (RO);MINISTRO ANDREAZZA (RO)
2020-06-18;43;1;0;0;392.8016808258;9.1349228099;47;110130;Mirante da Serra (RO);MIRANTE DA SERRA (RO)
2020-06-18;45;1;0;0;283.8758516276;6.3083522584;31;110140;Monte Negro (RO);MONTE NEGRO (RO)
2020-06-18;26;0;0;0;373.0272596844;0;13;110143;Nova União (RO);NOVA UNIÃO (RO)
2020-06-18;0;0;0;0;0;0;;110145;Parecis (RO);PARECIS (RO)
2020-06-18;20;0;2;0;922.0839096358;0;25;110146;Pimenteiras do Oeste (RO);PIMENTEIRAS DO OESTE (RO)
2020-06-18;5;0;0;0;175.0700280112;0;49;110147;Primavera de Rondônia (RO);PRIMAVERA DE RONDÔNIA (RO)
2020-06-18;3;0;0;0;58.0046403712;0;42;110148;São Felipe D'Oeste (RO);SÃO FELIPE D'OESTE (RO)
2020-06-18;32;1;0;0;157.8999309188;4.9343728412;31;110149;São Francisco do Guaporé (RO);SÃO FRANCISCO DO GUAPORÉ (RO)
2020-06-18;10;0;0;0;84.3454790823;0;30;110150;Seringueiras (RO);SERINGUEIRAS (RO)
2020-06-18;4;0;1;0;92.8505106778;0;13;110155;Teixeirópolis (RO);TEIXEIRÓPOLIS (RO)
2020-06-18;10;0;0;0;95.7487552662;0;43;110160;Theobroma (RO);THEOBROMA (RO)
2020-06-18;23;0;0;0;200.5755646638;0;57;110170;Urupá (RO);URUPÁ (RO)
2020-06-18;29;0;0;0;258.8361299536;0;49;110175;Vale do Anari (RO);VALE DO ANARI (RO)
2020-06-18;14;0;2;0;205.1282051282;0;31;110180;Vale do Paraíso (RO);VALE DO PARAÍSO (RO)
2020-06-18;181;2;1;0;1186.4184583115;13.1095962244;82;120001;Acrelândia (AC);ACRELÂNDIA (AC)
2020-06-18;128;5;19;0;1725.7651341513;67.4127005528;49;120005;Assis Brasil (AC);ASSIS BRASIL (AC)
2020-06-18;236;6;0;0;898.0896567471;22.8327878834;42;120010;Brasiléia (AC);BRASILÉIA (AC)
2020-06-18;124;1;15;0;1207.8706409507;9.7408922657;71;120013;Bujari (AC);BUJARI (AC)
2020-06-18;107;2;8;0;911.9577260718;17.0459388051;42;120017;Capixaba (AC);CAPIXABA (AC)
2020-06-18;1823;28;78;3;2062.7772245859;31.6828098126;67;120020;Cruzeiro do Sul (AC);CRUZEIRO DO SUL (AC)
2020-06-18;120;5;0;0;651.7842594101;27.1576774754;43;120025;Epitaciolândia (AC);EPITACIOLÂNDIA (AC)
2020-06-18;115;4;16;0;330.6497987349;11.5008625647;48;120030;Feijó (AC);FEIJÓ (AC)
2020-06-18;23;0;6;0;276.5420223638;0;16;120032;Jordão (AC);JORDÃO (AC)
2020-06-18;104;1;5;0;548.0318280023;5.2695368077;51;120033;Mâncio Lima (AC);MÂNCIO LIMA (AC)
2020-06-18;42;0;2;0;444.0215667618;0;21;120034;Manoel Urbano (AC);MANOEL URBANO (AC)
2020-06-18;126;0;1;0;667.8327238035;0;38;120035;Marechal Thaumaturgo (AC);MARECHAL THAUMATURGO (AC)
2020-06-18;238;6;1;1;1204.3924902586;30.3628358889;74;120038;Plácido de Castro (AC);PLÁCIDO DE CASTRO (AC)
2020-06-18;14;0;8;0;116.841929561;0;24;120039;Porto Walter (AC);PORTO WALTER (AC)
2020-06-18;5648;205;59;2;1386.6281710404;50.3291032336;83;120040;Rio Branco (AC);RIO BRANCO (AC)
2020-06-18;67;4;7;0;353.9355520338;21.1304807184;38;120042;Rodrigues Alves (AC);RODRIGUES ALVES (AC)
2020-06-18;103;1;16;0;1574.9235474006;15.2905198777;42;120043;Santa Rosa do Purus (AC);SANTA ROSA DO PURUS (AC)
2020-06-18;207;5;0;0;899.0618485059;21.7164697707;61;120045;Senador Guiomard (AC);SENADOR GUIOMARD (AC)
2020-06-18;405;2;20;0;883.3536904554;4.3622404467;46;120050;Sena Madureira (AC);SENA MADUREIRA (AC)
2020-06-18;499;3;48;0;1172.2695985153;7.0477130171;48;120060;Tarauacá (AC);TARAUACÁ (AC)
2020-06-18;182;1;11;0;941.8827304249;5.1751798375;51;120070;Xapuri (AC);XAPURI (AC)
2020-06-18;172;6;4;0;929.5287505404;32.4254215305;82;120080;Porto Acre (AC);PORTO ACRE (AC)
2020-06-18;477;11;0;0;2973.6300729381;68.5742784116;46;130002;Alvarães (AM);ALVARÃES (AM)
2020-06-18;360;8;3;0;3120.665742025;69.3481276006;56;130006;Amaturá (AM);AMATURÁ (AM)
2020-06-18;250;0;3;0;1836.3449390334;0;66;130008;Anamã (AM);ANAMÃ (AM)
2020-06-18;566;9;10;0;2693.9552594003;42.8367444074;82;130010;Anori (AM);ANORI (AM)
2020-06-18;27;0;0;0;122.8780776407;0;42;130014;Apuí (AM);APUÍ (AM)
2020-06-18;335;1;12;0;1681.6424878269;5.0198283219;50;130020;Atalaia do Norte (AM);ATALAIA DO NORTE (AM)
2020-06-18;846;27;28;0;2138.2535068874;68.2421331985;60;130030;Autazes (AM);AUTAZES (AM)
2020-06-18;783;20;2;0;2847.0656679514;72.7219838557;58;130040;Barcelos (AM);BARCELOS (AM)
2020-06-18;487;6;10;0;1519.9275927718;18.7260073031;48;130050;Barreirinha (AM);BARREIRINHA (AM)
2020-06-18;1371;27;25;0;3189.5589056393;62.8140703518;58;130060;Benjamin Constant (AM);BENJAMIN CONSTANT (AM)
2020-06-18;374;6;0;0;1900.5030743432;30.4893541338;59;130063;Beruri (AM);BERURI (AM)
2020-06-18;144;2;4;0;749.7266621544;10.4128703077;47;130068;Boa Vista do Ramos (AM);BOA VISTA DO RAMOS (AM)
2020-06-18;563;9;6;0;1641.0166724962;26.2329485834;83;130070;Boca do Acre (AM);BOCA DO ACRE (AM)
2020-06-18;380;16;7;0;923.20400379;38.871747528;53;130080;Borba (AM);BORBA (AM)
2020-06-18;135;4;1;1;1032.031190276;30.5787019341;56;130083;Caapiranga (AM);CAAPIRANGA (AM)
2020-06-18;48;0;0;0;307.1213769275;0;61;130090;Canutama (AM);CANUTAMA (AM)
2020-06-18;428;6;8;0;1512.6882024458;21.2059093801;64;130100;Carauari (AM);CARAUARI (AM)
2020-06-18;865;13;1;0;2284.1902347567;34.3288705802;69;130110;Careiro (AM);CAREIRO (AM)
2020-06-18;60;4;0;0;198.5111662531;13.2340777502;80;130115;Careiro da Várzea (AM);CAREIRO DA VÁRZEA (AM)
2020-06-18;3114;77;96;0;3659.3534437172;90.4849759686;63;130120;Coari (AM);COARI (AM)
2020-06-18;109;3;3;0;380.6264622691;10.4759576771;56;130130;Codajás (AM);CODAJÁS (AM)
2020-06-18;263;0;0;0;745.6127916537;0;49;130140;Eirunepé (AM);EIRUNEPÉ (AM)
2020-06-18;405;16;13;2;2299.9602476007;90.8626270657;52;130160;Fonte Boa (AM);FONTE BOA (AM)
2020-06-18;200;1;21;0;1199.1845545029;5.9959227725;36;130165;Guajará (AM);GUAJARÁ (AM)
2020-06-18;401;4;39;0;728.0319535222;7.2621641249;54;130170;Humaitá (AM);HUMAITÁ (AM)
2020-06-18;1191;35;7;0;2466.0427364585;72.4697697532;75;130185;Iranduba (AM);IRANDUBA (AM)
2020-06-18;1258;50;49;0;1241.4024492535;49.3403199226;82;130190;Itacoatiara (AM);ITACOATIARA (AM)
2020-06-18;184;1;6;0;2343.6504903834;12.737230926;37;130195;Itamarati (AM);ITAMARATI (AM)
2020-06-18;472;5;7;0;5159.597726279;54.656755575;54;130200;Itapiranga (AM);ITAPIRANGA (AM)
2020-06-18;188;0;0;0;6823.9564428312;0;39;130210;Japurá (AM);JAPURÁ (AM)
2020-06-18;154;0;12;0;1046.7645459489;0;61;130220;Juruá (AM);JURUÁ (AM)
2020-06-18;228;13;10;0;1592.5123978487;90.8011454914;65;130230;Jutaí (AM);JUTAÍ (AM)
2020-06-18;297;3;25;0;644.6851461938;6.5119711737;66;130240;Lábrea (AM);LÁBREA (AM)
2020-06-18;3012;121;39;0;3093.1328753196;124.2593220165;83;130250;Manacapuru (AM);MANACAPURU (AM)
2020-06-18;196;9;1;0;610.4968073509;28.0330166641;57;130255;Manaquiri (AM);MANAQUIRI (AM)
2020-06-18;24154;1678;65;18;1106.5791384589;76.8750432365;83;130260;Manaus (AM);MANAUS (AM)
2020-06-18;113;4;1;1;202.6869473193;7.1747591971;72;130270;Manicoré (AM);MANICORÉ (AM)
2020-06-18;188;2;6;0;1031.6066725198;10.9745390694;58;130280;Maraã (AM);MARAÃ (AM)
2020-06-18;825;29;3;0;1290.9787966513;45.3798607308;65;130290;Maués (AM);MAUÉS (AM)
