,date,cases,deaths,casesNew,deathsNew,casesPer100K,deathsPer100K,dias,codigo_ibge,nome,nome_com_uf,frigorifico
0,2020-06-18,59.0,0.0,5.0,0.0,257.1366310743,0.0,48.0,110001,Alta Floresta D'Oeste (RO),ALTA FLORESTA D'OESTE (RO),1.0
1,2020-06-18,817.0,14.0,0.0,1.0,757.4423110798,12.9794276072,70.0,110002,Ariquemes (RO),ARIQUEMES (RO),
2,2020-06-18,3.0,0.0,0.0,0.0,56.4759036145,0.0,15.0,110003,Cabixi (RO),CABIXI (RO),
3,2020-06-18,191.0,2.0,0.0,0.0,223.7608219403,2.3430452559,50.0,110004,Cacoal (RO),CACOAL (RO),1.0
4,2020-06-18,24.0,2.0,6.0,0.0,147.0317956258,12.2526496355,27.0,110005,Cerejeiras (RO),CEREJEIRAS (RO),
5,2020-06-18,20.0,0.0,3.0,0.0,125.92872434200001,0.0,13.0,110006,Colorado do Oeste (RO),COLORADO DO OESTE (RO),
6,2020-06-18,4.0,0.0,0.0,0.0,54.11987552430001,0.0,13.0,110007,Corumbiara (RO),CORUMBIARA (RO),
7,2020-06-18,16.0,0.0,4.0,0.0,87.28383612459999,0.0,26.0,110008,Costa Marques (RO),COSTA MARQUES (RO),
8,2020-06-18,39.0,2.0,1.0,0.0,120.467041453,6.1777969976,49.0,110009,Espigão D'Oeste (RO),ESPIGÃO D'OESTE (RO),3.0
9,2020-06-18,834.0,37.0,0.0,1.0,1806.2112877376999,80.1316758349,50.0,110010,Guajará-Mirim (RO),GUAJARÁ-MIRIM (RO),
10,2020-06-18,267.0,3.0,0.0,0.0,515.6929019797,5.7943022694,80.0,110011,Jaru (RO),JARU (RO),2.0
11,2020-06-18,330.0,8.0,1.0,0.0,255.8754429359,6.2030410409000005,83.0,110012,Ji-Paraná (RO),JI-PARANÁ (RO),4.0
12,2020-06-18,46.0,1.0,0.0,0.0,115.0258808232,2.5005626266,43.0,110013,Machadinho D'Oeste (RO),MACHADINHO D'OESTE (RO),
13,2020-06-18,8.0,0.0,0.0,0.0,39.0739474455,0.0,44.0,110014,Nova Brasilândia D'Oeste (RO),NOVA BRASILÂNDIA D'OESTE (RO),
14,2020-06-18,129.0,3.0,0.0,0.0,357.9852920771,8.325239350599999,71.0,110015,Ouro Preto do Oeste (RO),OURO PRETO DO OESTE (RO),
15,2020-06-18,119.0,3.0,0.0,1.0,324.6044735406,8.1833060556,54.0,110018,Pimenta Bueno (RO),PIMENTA BUENO (RO),5.0
16,2020-06-18,8632.0,265.0,163.0,11.0,1630.0817306966,50.0430559123,83.0,110020,Porto Velho (RO),PORTO VELHO (RO),1.0
17,2020-06-18,11.0,0.0,2.0,0.0,57.937427578199994,0.0,34.0,110025,Presidente Médici (RO),PRESIDENTE MÉDICI (RO),
18,2020-06-18,9.0,0.0,0.0,0.0,239.1073326249,0.0,33.0,110026,Rio Crespo (RO),RIO CRESPO (RO),
19,2020-06-18,197.0,2.0,6.0,0.0,357.80449707580004,3.6325329652,74.0,110028,Rolim de Moura (RO),ROLIM DE MOURA (RO),2.0
20,2020-06-18,11.0,0.0,0.0,0.0,169.3610469592,0.0,35.0,110029,Santa Luzia D'Oeste (RO),SANTA LUZIA D'OESTE (RO),
21,2020-06-18,298.0,3.0,0.0,0.0,298.4357161456,3.0043864042000004,74.0,110030,Vilhena (RO),VILHENA (RO),1.0
